,product,size,quality,battery,design,beam,price
49,B074TH86J2,,0.2475,0.1585,,0.5325,
50,B074X8YXT7,0.23655555555555555,0.33094736842105266,0.22266666666666668,0.1955714285714286,0.36626315789473685,0.2528
51,B0757X8PQS,0.3157272727272728,0.191,0.23147368421052636,0.17864285714285716,0.33393103448275857,0.26242857142857146
52,B07581N286,0.262,0.21590000000000004,0.1955263157894737,0.1774666666666667,0.3255769230769231,0.25116666666666665
53,B075TYB67V,0.31340909090909086,0.28175000000000006,0.25345238095238093,0.21002777777777776,0.33190789473684207,0.2816315789473684
54,B076QJMK4X,0.32902739726027397,0.3007777777777778,0.23182075471698113,0.22038750000000001,0.36158333333333337,0.31731428571428577
55,B077Q5SS4X,0.27899999999999997,0.20842857142857146,0.2226875,0.16554545454545455,0.2940689655172413,0.1416666666666667
56,B077Y63ZHB,0.26944444444444443,0.31849999999999995,0.17800000000000002,0.20261111111111113,0.28375,0.278125
57,B078LMRDLZ,0.19175,0.23349999999999996,0.2,0.1425,0.2602666666666667,0.3503333333333334
58,B078PH9DCB,0.32111111111111107,0.3340909090909091,0.2762727272727272,0.34407692307692306,0.25300000000000006,0.22566666666666668
59,B078T2H52V,0.3238,0.3107777777777778,0.163875,0.22114285714285714,0.26521428571428574,0.21766666666666667
60,B07BKP135K,0.30718181818181817,0.18900000000000003,0.2976666666666667,0.18721428571428575,0.29225,0.492
61,B07C3BFNK3,,0.2845,0.169,0.24379999999999996,0.2688571428571428,0.1555
62,B07DQMXLCX,0.3222608695652174,0.28725000000000006,0.21956250000000002,0.2318947368421053,0.31084,0.4246666666666667
63,B07HFCRDMW,0.152,0.324,0.3786666666666667,0.144,0.321,0.199
64,B07HM6GM36,0.37163636363636365,0.2414,0.25636363636363635,0.22723076923076924,0.36412500000000003,
65,B07K1XQ8M2,0.27675,0.20983333333333334,0.185375,0.23642857142857143,0.28985714285714287,0.338
66,B07K2MXXTV,,0.272,0.084,0.39649999999999996,0.41724999999999995,
67,B07KFRXT13,0.28795238095238096,0.28985714285714287,0.23716666666666666,0.20494117647058824,0.3132666666666666,0.36063636363636364
68,B07KPT62P1,0.28452,0.2164117647058823,0.18254545454545454,0.198,0.26566666666666666,0.328
69,B07R5VWWQB,0.33240000000000003,0.27315384615384614,0.23263999999999999,0.2337692307692308,0.3045454545454546,0.3207777777777778
70,B07TJ41TMC,0.31463157894736843,0.278288888888889,0.2646896551724138,0.2268837209302325,0.3602906976744185,0.33492307692307693
71,B07TJ9PYB8,0.3473333333333333,0.31238461538461537,0.24290625,0.27768,0.31983333333333336,0.45975
72,B07TKDJ5Q7,0.3742142857142857,0.2660869565217391,0.3087105263157895,0.1980952380952381,0.4068888888888889,0.3149
73,B07TNRBN63,,0.25733333333333336,0.058,0.042,0.299,0.36066666666666664
74,B07V3ZJXHB,0.2605,0.1705,0.1925,0.314,0.11100000000000002,
75,B07VFQJRP1,0.22600000000000003,0.27115384615384613,0.268625,0.3249,0.32175,0.2531666666666667
76,B07VJWYBG8,0.1972,0.3578,0.203875,0.258125,0.2886,0.25266666666666665
77,B07VPDB1RJ,0.22415384615384612,0.2599090909090909,0.19013636363636363,0.18369230769230768,0.25563157894736843,0.3258571428571429
78,B07VPWSP1L,0.3301851851851852,0.31922222222222213,0.27531999999999995,0.2856923076923077,0.3994,0.38623076923076927
79,B07YNZ529H,0.24268181818181817,0.2240769230769231,0.19372413793103446,0.20135714285714285,0.3076176470588235,0.358
80,B07YXRYCH7,0.23933333333333331,0.24050000000000002,0.29218750000000004,0.216,0.36071428571428565,0.2861111111111111
81,B081SBLQZD,0.3785,0.2702,0.2222,0.2328181818181818,0.2907692307692308,0.2936666666666667
82,B0825F4PS8,0.2871666666666666,0.2670714285714285,0.2324,0.136125,0.3296,0.3638333333333333
83,B0825F96G8,0.156,0.25660000000000005,0.24133333333333332,0.29174999999999995,0.28600000000000003,0.225
84,B083TPFGV7,0.345,0.2299,0.08650000000000001,0.17081818181818184,0.28823529411764703,0.325
85,B0841RSDCR,0.23853846153846153,0.23600000000000002,0.16766666666666666,0.1362727272727273,0.29786363636363633,0.14200000000000002
86,B086PW9TTP,0.3685,0.1055,0.2295,0.179,0.2525,0.104
87,B087CG1YW6,0.35933333333333334,0.2728181818181818,0.21020000000000003,0.18433333333333335,0.37315625,0.2177777777777778
88,B08BTQ2T4C,0.30494444444444446,0.1936,0.22741666666666668,0.20342857142857143,0.2897826086956522,0.2046666666666667
89,B08DCSF6ZX,0.17519999999999997,0.21699999999999997,0.2017777777777778,0.23369999999999996,0.2520625,0.17875
