,product,size,quality,battery,design,beam,price
0,B001NZO85O,0.16288,0.2565294117647059,0.14629166666666665,0.2101794871794872,0.21527272727272728,0.24325
1,B005CWRB44,0.27647311827956983,0.22855172413793107,0.17821818181818183,0.16643103448275862,0.2951730769230769,0.2776206896551724
2,B0062PVSGW,0.27103488372093026,0.2464494382022472,0.1755757575757576,0.2086146788990826,0.27540127388535035,0.2416231884057971
3,B0091TRPVI,0.2886578947368421,0.2908,0.1948148148148148,0.18169767441860465,0.25988888888888884,0.29525
4,B00937X7G0,0.33442857142857146,0.2642857142857143,0.2029,0.22625925925925927,0.3266315789473685,0.37340000000000007
5,B00937YE6C,0.28121428571428575,0.23759999999999998,0.1446666666666667,0.13084615384615386,0.2569,0.2462857142857143
6,B0093804JM,0.24357142857142858,0.23199999999999998,0.24028571428571427,0.14869565217391306,0.258,0.20928571428571427
7,B00CXCZ2JW,0.243,0.243625,0.230875,0.21813333333333332,0.2592142857142857,0.229
8,B00DDC1QAU,,0.19533333333333336,0.13066666666666668,0.20475000000000002,0.1811818181818182,0.063
9,B00GZA1V02,0.2964545454545455,0.3028823529411765,0.2292,0.3076153846153847,0.3638888888888889,0.280875
10,B00GZYNX8G,0.29911111111111105,0.29224324324324324,0.23012500000000002,0.20384552845528459,0.34875,0.26583333333333337
11,B00I14HLLS,0.3081,0.3075333333333333,0.23033333333333333,0.2312377358490566,0.3111022099447514,0.3053981481481482
12,B00JK5Y1NS,0.33968965517241384,0.3058125,0.2118888888888889,0.2465333333333333,0.3375357142857143,0.2726451612903226
13,B00KVR27QM,0.2934482758620689,0.2634090909090909,0.21210416666666665,0.24271698113207552,0.337171875,0.3043571428571428
14,B00LG6NWR0,0.243,0.16833333333333333,0.2773333333333334,0.18639999999999995,0.2459,0.079
15,B00LSQKZ28,0.2980645161290323,0.2923181818181819,0.2033125,0.19052173913043477,0.22607500000000003,0.21825
16,B00M94WSVY,0.29925,0.2786666666666667,0.22700000000000004,0.2262777777777778,0.25106249999999997,0.21616666666666665
17,B00NLL7PDA,0.204125,0.35213157894736846,0.25027777777777777,0.21177777777777773,0.39745945945945943,0.39692857142857146
18,B00NQNZWIS,0.34618867924528307,0.28845882352941177,0.21007142857142858,0.22223611111111108,0.36206153846153843,0.30419354838709683
19,B00OH5MIPO,0.2984857142857143,0.26098387096774195,0.24872192513368982,0.22675824175824175,0.30094581280788174,0.2917826086956521
20,B00OYKXTDW,0.332375,0.2906101694915255,0.22386000000000003,0.23815873015873013,0.3083877551020408,0.33065625
21,B00SNWGV96,0.2715,0.31033333333333335,0.15966666666666668,0.1326,0.4116666666666666,
22,B00SRDTBF2,0.38185714285714284,0.24317391304347827,0.23670833333333338,0.16835,0.28055172413793106,0.3685999999999999
